Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg,
7,5 11,1 1,20000,0,-0.08,-40.16,0xC93F434F
7,5 11,1 1,20000,1,0.92,-40.36,0xC93F4359
7,5 11,1 1,20000,2,2.02,-40.27,0xC93F4364
7,5 11,1 1,20000,3,3.08,-40.45,0xC93F4371
7,5 11,1 1,20000,4,4.09,-40.56,0xC93F437F
7,5 11,1 1,20000,5,5.08,-40.57,0xC93F438F
7,5 11,1 1,20000,6,6.02,-40.59,0xC93F439F
7,5 11,1 1,20000,7,7.12,-40.67,0xC93F43B3
7,5 11,1 1,20000,8,7.98,-41.28,0xCA3F4752
7,5 11,1 1,20000,9,9.04,-41.79,0xCA3F475C
7,5 11,1 1,20000,10,10.1,-42.21,0xCA3F4768
7,5 11,1 1,20000,11,11.02,-42.36,0xCA3F4774
7,5 11,1 1,20000,12,12.07,-42.3,0xCA3F4784
7,5 11,1 1,20000,13,13.07,-41.8,0xCA3F4794
7,5 11,1 1,20000,14,13.93,-41.3,0xCA3F47A4
7,5 11,1 1,20000,15,15.15,-37.92,0xCA3F47BC
7,5 11,1 1,20000,16,16.19,-37.56,0xD33F4C53
7,5 11,1 1,20000,17,17.12,-37.48,0xD33F4C5D
7,5 11,1 1,20000,18,18.03,-35.84,0xD33F4C68
7,5 11,1 1,20000,19,18.99,-33.21,0xD33F4C75
7,5 11,1 1,20000,20,19.82,-30.6,0xDC3F4D7F
7,5 11,1 1,20000,21,20.66,-29.78,0xDC3F4D8F
7,5 11,1 1,20000,22,21.49,-29.23,0xDC3F4DA0
7,5 11,1 1,20000,23,22.22,-28.55,0xDC3F4DB4
7,5 7,1 1,20000,0,-0.1,-39.4,0xC93F434F
7,5 7,1 1,20000,1,0.91,-39.86,0xC93F4359
7,5 7,1 1,20000,2,1.97,-40.02,0xC93F4364
7,5 7,1 1,20000,3,3.05,-40.02,0xC93F4371
7,5 7,1 1,20000,4,4.11,-40.11,0xC93F437F
7,5 7,1 1,20000,5,5.1,-40.19,0xC93F438F
7,5 7,1 1,20000,6,6.05,-40.1,0xC93F439F
7,5 7,1 1,20000,7,7.09,-40.07,0xC93F43B3
7,5 7,1 1,20000,8,7.9,-41.28,0xCA3F4752
7,5 7,1 1,20000,9,8.89,-41.54,0xCA3F475C
7,5 7,1 1,20000,10,10.01,-41.62,0xCA3F4768
7,5 7,1 1,20000,11,10.94,-41.74,0xCA3F4774
7,5 7,1 1,20000,12,12.1,-41.75,0xCA3F4784
7,5 7,1 1,20000,13,13.06,-41.41,0xCA3F4794
7,5 7,1 1,20000,14,13.93,-40.65,0xCA3F47A4
7,5 7,1 1,20000,15,15.13,-38.12,0xCA3F47BC
7,5 7,1 1,20000,16,16.18,-37.89,0xD33F4C53
7,5 7,1 1,20000,17,17.11,-37.6,0xD33F4C5D
7,5 7,1 1,20000,18,18.02,-35.83,0xD33F4C68
7,5 7,1 1,20000,19,18.98,-32.58,0xD33F4C75
7,5 7,1 1,20000,20,19.76,-28.49,0xDC3F4D7E
7,5 7,1 1,20000,21,20.62,-24.88,0xDC3F4D8E
7,5 7,1 1,20000,22,21.43,-21.82,0xDC3F4D9F
7,5 7,1 1,20000,23,22.14,-19.69,0xDC3F4DB3
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
7,5 0,1 1,2000,0,0.03,-40.54,0xC93F434F
7,5 0,1 1,2000,1,0.99,-41.08,0xC93F4359
7,5 0,1 1,2000,2,2.05,-41.55,0xC93F4364
7,5 0,1 1,2000,3,3.12,-42.09,0xC93F4371
7,5 0,1 1,2000,4,4.11,-42.28,0xC93F437F
7,5 0,1 1,2000,5,5.09,-42.24,0xC93F438F
7,5 0,1 1,2000,6,6.07,-42.34,0xC93F439F
7,5 0,1 1,2000,7,7.09,-42.70,0xC93F43B3
7,5 0,1 1,2000,8,8.03,-40.31,0xCA3F4752
7,5 0,1 1,2000,9,9.00,-40.77,0xCA3F475C
7,5 0,1 1,2000,10,10.11,-41.54,0xCA3F4768
7,5 0,1 1,2000,11,11.04,-42.21,0xCA3F4774
7,5 0,1 1,2000,12,12.13,-42.18,0xCA3F4784
7,5 0,1 1,2000,13,13.07,-41.42,0xCA3F4794
7,5 0,1 1,2000,14,13.93,-40.57,0xCA3F47A4
7,5 0,1 1,2000,15,15.09,-37.83,0xCA3F47BC
7,5 0,1 1,2000,16,16.11,-37.17,0xD33F4C53
7,5 0,1 1,2000,17,17.03,-37.04,0xD33F4C5D
7,5 0,1 1,2000,18,17.94,-35.80,0xD33F4C68
7,5 0,1 1,2000,19,18.89,-32.89,0xD33F4C75
7,5 0,1 1,2000,20,19.79,-28.13,0xDC3F4D80
7,5 0,1 1,2000,21,20.64,-24.70,0xDC3F4D8F
7,5 0,1 1,2000,22,21.44,-21.68,0xDC3F4DA1
7,5 0,1 1,2000,23,22.15,-18.79,0xDC3F4DB4
155,5 11,2 2,20000,0,-0.57,-38.03,0xC13F564D
155,5 11,2 2,20000,1,0.28,-38.53,0xC13F5656
155,5 11,2 2,20000,2,1.32,-39.03,0xC13F5661
155,5 11,2 2,20000,3,2.36,-39.58,0xC13F566D
155,5 11,2 2,20000,4,3.25,-39.71,0xC13F5678
155,5 11,2 2,20000,5,4.25,-40.16,0xC13F5689
155,5 11,2 2,20000,6,5.30,-40.33,0xC13F5698
155,5 11,2 2,20000,7,6.19,-39.03,0xC23F5869
155,5 11,2 2,20000,8,7.18,-39.43,0xC23F5876
155,5 11,2 2,20000,9,8.15,-39.45,0xC23F5885
155,5 11,2 2,20000,10,9.15,-39.60,0xC23F5895
155,5 11,2 2,20000,11,10.20,-39.68,0xC23F58A7
155,5 11,2 2,20000,12,11.15,-39.42,0xC23F58BB
155,5 11,2 2,20000,13,12.37,-38.62,0xD33F5C58
155,5 11,2 2,20000,14,13.38,-39.29,0xD33F5C63
155,5 11,2 2,20000,15,14.35,-39.55,0xD33F5C6F
155,5 11,2 2,20000,16,15.28,-38.94,0xD33F5C7C
155,5 11,2 2,20000,17,16.23,-36.73,0xD33F5C8B
155,5 11,2 2,20000,18,16.63,-35.61,0xD43F5D7C
155,5 11,2 2,20000,19,17.56,-32.40,0xD43F5D8B
155,5 11,2 2,20000,20,18.47,-30.26,0xD43F5D9C
155,5 11,2 2,20000,21,19.31,-29.77,0xD43F5DAF
155,5 11,2 2,20000,22,20.01,-29.41,0xD43F5DC5
155,5 11,2 2,20000,23,20.35,-28.06,0xD83F5F9F
155,5 7,2 2,20000,0,-0.69,-38.21,0xC13F564E
155,5 7,2 2,20000,1,0.19,-38.69,0xC13F5657
155,5 7,2 2,20000,2,1.23,-39.12,0xC13F5662
155,5 7,2 2,20000,3,2.25,-39.50,0xC13F566E
155,5 7,2 2,20000,4,3.14,-39.82,0xC13F5679
155,5 7,2 2,20000,5,4.14,-39.89,0xC13F568A
155,5 7,2 2,20000,6,5.18,-39.91,0xC13F569A
155,5 7,2 2,20000,7,6.06,-39.51,0xC23F586A
155,5 7,2 2,20000,8,7.06,-39.51,0xC23F5877
155,5 7,2 2,20000,9,8.11,-39.55,0xC23F5885
155,5 7,2 2,20000,10,9.08,-39.50,0xC23F5895
155,5 7,2 2,20000,11,10.11,-39.54,0xC23F58A7
155,5 7,2 2,20000,12,11.05,-39.35,0xC23F58BC
155,5 7,2 2,20000,13,12.24,-38.10,0xD33F5C58
155,5 7,2 2,20000,14,13.24,-38.89,0xD33F5C63
155,5 7,2 2,20000,15,14.20,-39.00,0xD33F5C6F
155,5 7,2 2,20000,16,15.12,-38.52,0xD33F5C7C
155,5 7,2 2,20000,17,16.06,-36.16,0xD33F5C8B
155,5 7,2 2,20000,18,16.51,-35.29,0xD43F5D7C
155,5 7,2 2,20000,19,17.43,-31.60,0xD43F5D8B
155,5 7,2 2,20000,20,18.32,-27.23,0xD43F5D9C
155,5 7,2 2,20000,21,19.14,-23.04,0xD43F5DB0
155,5 7,2 2,20000,22,19.91,-20.00,0xD43F5DC5
155,5 7,2 2,20000,23,20.21,-18.24,0xD83F5F9F
155,5 0,2 2,20000,0,-0.83,-38.09,0xC13F564E
155,5 0,2 2,20000,1,0.05,-38.67,0xC13F5657
155,5 0,2 2,20000,2,1.09,-39.27,0xC13F5662
155,5 0,2 2,20000,3,2.10,-39.65,0xC13F566E
155,5 0,2 2,20000,4,2.99,-39.76,0xC13F5679
155,5 0,2 2,20000,5,4.01,-39.76,0xC13F568A
155,5 0,2 2,20000,6,5.07,-39.62,0xC13F569A
155,5 0,2 2,20000,7,5.94,-39.42,0xC23F586A
155,5 0,2 2,20000,8,6.96,-39.52,0xC23F5877
155,5 0,2 2,20000,9,7.98,-39.21,0xC23F5885
155,5 0,2 2,20000,10,8.95,-39.21,0xC23F5895
155,5 0,2 2,20000,11,9.98,-39.32,0xC23F58A8
155,5 0,2 2,20000,12,10.95,-38.96,0xC23F58BC
155,5 0,2 2,20000,13,12.10,-37.72,0xD33F5C58
155,5 0,2 2,20000,14,13.09,-38.06,0xD33F5C63
155,5 0,2 2,20000,15,14.05,-38.21,0xD33F5C6F
155,5 0,2 2,20000,16,14.96,-37.38,0xD33F5C7C
155,5 0,2 2,20000,17,15.91,-35.58,0xD33F5C8B
155,5 0,2 2,20000,18,16.35,-34.44,0xD43F5D7C
155,5 0,2 2,20000,19,17.26,-31.04,0xD43F5D8C
155,5 0,2 2,20000,20,18.14,-26.91,0xD43F5D9D
155,5 0,2 2,20000,21,18.95,-22.93,0xD43F5DB0
155,5 0,2 2,20000,22,19.65,-19.68,0xD43F5DC5
155,5 0,2 2,20000,23,20.01,-16.01,0xD83F5FA0
42,5 11,2 2,20000,0,-2.92,-38.10,0xC13F5652
42,5 11,2 2,20000,1,-1.97,-38.48,0xC13F565C
42,5 11,2 2,20000,2,-0.92,-38.78,0xC13F5667
42,5 11,2 2,20000,3,0.12,-39.04,0xC13F5674
42,5 11,2 2,20000,4,1.03,-39.30,0xC13F5680
42,5 11,2 2,20000,5,2.05,-39.32,0xC13F5692
42,5 11,2 2,20000,6,3.13,-39.19,0xC13F56A3
42,5 11,2 2,20000,7,4.37,-39.07,0xC23F5870
42,5 11,2 2,20000,8,5.41,-39.08,0xC23F587E
42,5 11,2 2,20000,9,6.48,-39.04,0xC23F588D
42,5 11,2 2,20000,10,7.47,-38.97,0xC23F589F
42,5 11,2 2,20000,11,8.49,-38.70,0xC23F58B2
42,5 11,2 2,20000,12,9.49,-37.95,0xC23F58C8
42,5 11,2 2,20000,13,10.54,-37.95,0xD33F5C58
42,5 11,2 2,20000,14,11.52,-38.72,0xD33F5C63
42,5 11,2 2,20000,15,12.52,-39.10,0xD33F5C6F
42,5 11,2 2,20000,16,13.47,-38.60,0xD33F5C7C
42,5 11,2 2,20000,17,14.43,-37.30,0xD33F5C8B
42,5 11,2 2,20000,18,15.05,-36.03,0xD43F5D79
42,5 11,2 2,20000,19,15.95,-33.70,0xD43F5D87
42,5 11,2 2,20000,20,16.88,-31.14,0xD43F5D98
42,5 11,2 2,20000,21,17.72,-29.97,0xD43F5DAA
42,5 11,2 2,20000,22,18.52,-29.62,0xD43F5DBF
42,5 11,2 2,20000,23,18.80,-28.51,0xD83F5FB5
42,5 7,2 2,20000,0,-2.88,-37.57,0xC13F5652
42,5 7,2 2,20000,1,-1.94,-38.01,0xC13F565C
42,5 7,2 2,20000,2,-0.90,-38.46,0xC13F5667
42,5 7,2 2,20000,3,0.10,-38.79,0xC13F5674
42,5 7,2 2,20000,4,1.04,-39.29,0xC13F5680
42,5 7,2 2,20000,5,2.06,-39.41,0xC13F5692
42,5 7,2 2,20000,6,3.15,-39.62,0xC13F56A3
42,5 7,2 2,20000,7,4.40,-39.48,0xC23F5870
42,5 7,2 2,20000,8,5.39,-39.52,0xC23F587D
42,5 7,2 2,20000,9,6.41,-39.30,0xC23F588D
42,5 7,2 2,20000,10,7.44,-39.24,0xC23F589E
42,5 7,2 2,20000,11,8.41,-39.02,0xC23F58B1
42,5 7,2 2,20000,12,9.40,-38.48,0xC23F58C7
42,5 7,2 2,20000,13,10.52,-37.07,0xD33F5C58
42,5 7,2 2,20000,14,11.50,-38.02,0xD33F5C63
42,5 7,2 2,20000,15,12.48,-38.79,0xD33F5C6F
42,5 7,2 2,20000,16,13.42,-38.58,0xD33F5C7C
42,5 7,2 2,20000,17,14.38,-37.43,0xD33F5C8B
42,5 7,2 2,20000,18,14.90,-36.27,0xD43F5D78
42,5 7,2 2,20000,19,15.87,-33.92,0xD43F5D87
42,5 7,2 2,20000,20,16.77,-30.16,0xD43F5D97
42,5 7,2 2,20000,21,17.68,-25.38,0xD43F5DAA
42,5 7,2 2,20000,22,18.47,-21.39,0xD43F5DBF
42,5 7,2 2,20000,23,18.72,-18.58,0xD83F5FB4
42,5 0,2 2,20000,0,-2.84,-38.58,0xC13F5652
42,5 0,2 2,20000,1,-1.87,-38.97,0xC13F565C
42,5 0,2 2,20000,2,-0.88,-39.31,0xC13F5667
42,5 0,2 2,20000,3,0.13,-39.51,0xC13F5674
42,5 0,2 2,20000,4,1.06,-39.56,0xC13F5680
42,5 0,2 2,20000,5,2.09,-39.65,0xC13F5692
42,5 0,2 2,20000,6,3.18,-39.70,0xC13F56A3
42,5 0,2 2,20000,7,4.40,-39.52,0xC23F5870
42,5 0,2 2,20000,8,5.42,-39.49,0xC23F587E
42,5 0,2 2,20000,9,6.42,-39.36,0xC23F588D
42,5 0,2 2,20000,10,7.40,-39.31,0xC23F589E
42,5 0,2 2,20000,11,8.43,-39.26,0xC23F58B2
42,5 0,2 2,20000,12,9.43,-38.52,0xC23F58C7
42,5 0,2 2,20000,13,10.51,-37.28,0xD33F5C58
42,5 0,2 2,20000,14,11.50,-37.81,0xD33F5C63
42,5 0,2 2,20000,15,12.47,-38.33,0xD33F5C6F
42,5 0,2 2,20000,16,13.40,-38.37,0xD33F5C7C
42,5 0,2 2,20000,17,14.34,-37.24,0xD33F5C8B
42,5 0,2 2,20000,18,14.82,-36.05,0xD43F5D78
42,5 0,2 2,20000,19,15.79,-33.79,0xD43F5D87
42,5 0,2 2,20000,20,16.69,-30.07,0xD43F5D97
42,5 0,2 2,20000,21,17.57,-25.52,0xD43F5DAA
42,5 0,2 2,20000,22,18.35,-21.36,0xD43F5DBF
42,5 0,2 2,20000,23,18.64,-17.05,0xD83F5FB4
58,5 11,2 2,20000,0,-2.85,-38.76,0xC13F5653
58,5 11,2 2,20000,1,-1.92,-38.98,0xC13F565D
58,5 11,2 2,20000,2,-0.97,-39.15,0xC13F5668
58,5 11,2 2,20000,3,0.09,-39.23,0xC13F5675
58,5 11,2 2,20000,4,1.04,-39.34,0xC13F5681
58,5 11,2 2,20000,5,2.06,-39.25,0xC13F5693
58,5 11,2 2,20000,6,3.17,-39.01,0xC13F56A5
58,5 11,2 2,20000,7,4.26,-38.73,0xC23F5871
58,5 11,2 2,20000,8,5.28,-38.69,0xC23F587F
58,5 11,2 2,20000,9,6.27,-38.53,0xC23F588F
58,5 11,2 2,20000,10,7.28,-38.30,0xC23F58A0
58,5 11,2 2,20000,11,8.32,-38.14,0xC23F58B3
58,5 11,2 2,20000,12,9.32,-37.83,0xC23F58C9
58,5 11,2 2,20000,13,10.42,-37.18,0xD33F5C58
58,5 11,2 2,20000,14,11.47,-37.89,0xD33F5C63
58,5 11,2 2,20000,15,12.45,-38.26,0xD33F5C6F
58,5 11,2 2,20000,16,13.33,-38.34,0xD33F5C7C
58,5 11,2 2,20000,17,14.29,-37.89,0xD33F5C8B
58,5 11,2 2,20000,18,14.90,-36.52,0xD43F5D79
58,5 11,2 2,20000,19,15.87,-34.17,0xD43F5D88
58,5 11,2 2,20000,20,16.83,-31.39,0xD43F5D99
58,5 11,2 2,20000,21,17.69,-30.08,0xD43F5DAB
58,5 11,2 2,20000,22,18.50,-29.73,0xD43F5DC0
58,5 11,2 2,20000,23,18.89,-28.75,0xD83F5FAA
58,5 7,2 2,20000,0,-2.82,-37.13,0xC13F5653
58,5 7,2 2,20000,1,-1.93,-37.61,0xC13F565D
58,5 7,2 2,20000,2,-0.94,-38.34,0xC13F5668
58,5 7,2 2,20000,3,0.12,-38.91,0xC13F5675
58,5 7,2 2,20000,4,1.05,-39.38,0xC13F5681
58,5 7,2 2,20000,5,2.03,-39.71,0xC13F5693
58,5 7,2 2,20000,6,3.15,-39.87,0xC13F56A5
58,5 7,2 2,20000,7,4.28,-39.49,0xC23F5871
58,5 7,2 2,20000,8,5.28,-39.70,0xC23F587F
58,5 7,2 2,20000,9,6.23,-39.65,0xC23F588E
58,5 7,2 2,20000,10,7.28,-39.60,0xC23F58A0
58,5 7,2 2,20000,11,8.24,-39.73,0xC23F58B3
58,5 7,2 2,20000,12,9.23,-39.33,0xC23F58C9
58,5 7,2 2,20000,13,10.38,-36.93,0xD33F5C58
58,5 7,2 2,20000,14,11.44,-37.60,0xD33F5C63
58,5 7,2 2,20000,15,12.34,-37.96,0xD33F5C6F
58,5 7,2 2,20000,16,13.28,-38.14,0xD33F5C7C
58,5 7,2 2,20000,17,14.24,-37.39,0xD33F5C8B
58,5 7,2 2,20000,18,14.84,-36.20,0xD43F5D79
58,5 7,2 2,20000,19,15.81,-33.91,0xD43F5D88
58,5 7,2 2,20000,20,16.79,-30.31,0xD43F5D99
58,5 7,2 2,20000,21,17.64,-26.23,0xD43F5DAB
58,5 7,2 2,20000,22,18.46,-22.28,0xD43F5DC0
58,5 7,2 2,20000,23,18.85,-18.78,0xD83F5FAA
58,5 0,2 2,20000,0,-2.86,-37.87,0xC13F5653
58,5 0,2 2,20000,1,-1.99,-38.29,0xC13F565D
58,5 0,2 2,20000,2,-0.99,-38.68,0xC13F5668
58,5 0,2 2,20000,3,0.07,-39.01,0xC13F5675
58,5 0,2 2,20000,4,1.00,-39.27,0xC13F5681
58,5 0,2 2,20000,5,1.99,-39.43,0xC13F5693
58,5 0,2 2,20000,6,3.12,-39.42,0xC13F56A5
58,5 0,2 2,20000,7,4.25,-39.69,0xC23F5871
58,5 0,2 2,20000,8,5.24,-39.77,0xC23F587F
58,5 0,2 2,20000,9,6.21,-39.81,0xC23F588E
58,5 0,2 2,20000,10,7.24,-39.62,0xC23F58A0
58,5 0,2 2,20000,11,8.21,-39.68,0xC23F58B3
58,5 0,2 2,20000,12,9.22,-38.89,0xC23F58C9
58,5 0,2 2,20000,13,10.37,-36.48,0xD33F5C58
58,5 0,2 2,20000,14,11.36,-36.92,0xD33F5C63
58,5 0,2 2,20000,15,12.27,-37.51,0xD33F5C6F
58,5 0,2 2,20000,16,13.18,-37.37,0xD33F5C7C
58,5 0,2 2,20000,17,14.14,-36.65,0xD33F5C8B
58,5 0,2 2,20000,18,14.73,-35.39,0xD43F5D79
58,5 0,2 2,20000,19,15.72,-33.25,0xD43F5D88
58,5 0,2 2,20000,20,16.63,-30.10,0xD43F5D99
58,5 0,2 2,20000,21,17.53,-26.19,0xD43F5DAB
58,5 0,2 2,20000,22,18.31,-22.09,0xD43F5DC0
58,5 0,2 2,20000,23,18.69,-17.52,0xD83F5FAA
106,5 11,2 2,20000,0,-1.77,-38.26,0xC13F564F
106,5 11,2 2,20000,1,-0.81,-38.76,0xC13F5659
106,5 11,2 2,20000,2,0.14,-39.06,0xC13F5663
106,5 11,2 2,20000,3,1.25,-39.46,0xC13F5670
106,5 11,2 2,20000,4,2.13,-39.83,0xC13F567B
106,5 11,2 2,20000,5,3.18,-39.95,0xC13F568D
106,5 11,2 2,20000,6,4.29,-39.91,0xC13F569E
106,5 11,2 2,20000,7,5.06,-39.17,0xC23F586C
106,5 11,2 2,20000,8,6.11,-39.30,0xC23F587A
106,5 11,2 2,20000,9,7.09,-39.35,0xC23F5888
106,5 11,2 2,20000,10,8.04,-39.31,0xC23F5899
106,5 11,2 2,20000,11,9.06,-39.13,0xC23F58AC
106,5 11,2 2,20000,12,10.05,-38.77,0xC23F58C1
106,5 11,2 2,20000,13,11.22,-36.79,0xD33F5C58
106,5 11,2 2,20000,14,12.21,-37.57,0xD33F5C63
106,5 11,2 2,20000,15,13.19,-37.73,0xD33F5C6F
106,5 11,2 2,20000,16,14.12,-37.52,0xD33F5C7C
106,5 11,2 2,20000,17,15.08,-36.41,0xD33F5C8B
106,5 11,2 2,20000,18,15.66,-35.01,0xD43F5D7C
106,5 11,2 2,20000,19,16.61,-32.62,0xD43F5D8C
106,5 11,2 2,20000,20,17.53,-30.58,0xD43F5D9D
106,5 11,2 2,20000,21,18.43,-29.91,0xD43F5DB0
106,5 11,2 2,20000,22,19.19,-29.60,0xD43F5DC5
106,5 11,2 2,20000,23,19.57,-28.63,0xD83F5F9B
106,5 7,2 2,20000,0,-1.80,-38.40,0xC13F564F
106,5 7,2 2,20000,1,-0.85,-38.81,0xC13F5659
106,5 7,2 2,20000,2,0.08,-39.28,0xC13F5663
106,5 7,2 2,20000,3,1.14,-39.66,0xC13F5670
106,5 7,2 2,20000,4,2.06,-39.99,0xC13F567B
106,5 7,2 2,20000,5,3.10,-39.96,0xC13F568D
106,5 7,2 2,20000,6,4.23,-39.96,0xC13F569E
106,5 7,2 2,20000,7,4.97,-39.45,0xC23F586C
106,5 7,2 2,20000,8,5.93,-39.49,0xC23F5879
106,5 7,2 2,20000,9,6.94,-39.50,0xC23F5888
106,5 7,2 2,20000,10,7.97,-39.58,0xC23F5899
106,5 7,2 2,20000,11,8.97,-39.62,0xC23F58AB
106,5 7,2 2,20000,12,10.00,-39.45,0xC23F58C0
106,5 7,2 2,20000,13,11.16,-37.06,0xD33F5C58
106,5 7,2 2,20000,14,12.15,-37.49,0xD33F5C63
106,5 7,2 2,20000,15,13.12,-37.83,0xD33F5C6F
106,5 7,2 2,20000,16,14.04,-37.48,0xD33F5C7C
106,5 7,2 2,20000,17,14.99,-36.45,0xD33F5C8B
106,5 7,2 2,20000,18,15.56,-35.62,0xD43F5D7C
106,5 7,2 2,20000,19,16.51,-32.65,0xD43F5D8C
106,5 7,2 2,20000,20,17.42,-29.01,0xD43F5D9D
106,5 7,2 2,20000,21,18.29,-25.06,0xD43F5DB0
106,5 7,2 2,20000,22,19.09,-21.29,0xD43F5DC5
106,5 7,2 2,20000,23,19.47,-18.58,0xD83F5F9A
106,5 0,2 2,20000,0,-1.81,-38.44,0xC13F564F
106,5 0,2 2,20000,1,-0.85,-38.97,0xC13F5659
106,5 0,2 2,20000,2,0.08,-39.46,0xC13F5663
106,5 0,2 2,20000,3,1.17,-39.61,0xC13F5670
106,5 0,2 2,20000,4,2.05,-39.74,0xC13F567B
106,5 0,2 2,20000,5,3.11,-39.77,0xC13F568D
106,5 0,2 2,20000,6,4.22,-39.90,0xC13F569E
106,5 0,2 2,20000,7,4.97,-39.37,0xC23F586C
106,5 0,2 2,20000,8,5.93,-39.55,0xC23F5879
106,5 0,2 2,20000,9,6.94,-39.44,0xC23F5888
106,5 0,2 2,20000,10,7.95,-39.44,0xC23F5899
106,5 0,2 2,20000,11,8.95,-39.62,0xC23F58AB
106,5 0,2 2,20000,12,9.98,-39.32,0xC23F58C0
106,5 0,2 2,20000,13,11.12,-36.73,0xD33F5C58
106,5 0,2 2,20000,14,12.10,-37.25,0xD33F5C63
106,5 0,2 2,20000,15,13.05,-37.10,0xD33F5C6F
106,5 0,2 2,20000,16,13.98,-36.80,0xD33F5C7C
106,5 0,2 2,20000,17,14.92,-35.69,0xD33F5C8B
106,5 0,2 2,20000,18,15.50,-34.65,0xD43F5D7C
106,5 0,2 2,20000,19,16.44,-32.13,0xD43F5D8C
106,5 0,2 2,20000,20,17.35,-28.78,0xD43F5D9D
106,5 0,2 2,20000,21,18.21,-25.03,0xD43F5DB0
106,5 0,2 2,20000,22,19.02,-21.16,0xD43F5DC5
106,5 0,2 2,20000,23,19.38,-17.04,0xD83F5F9A
