Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
42,5 11,2 2,20000,0,-1.29,-40.47
42,5 11,2 2,20000,1,-0.50,-40.87
42,5 11,2 2,20000,2,0.67,-41.30
42,5 11,2 2,20000,3,1.60,-41.58
42,5 11,2 2,20000,4,2.52,-41.59
42,5 11,2 2,20000,5,3.57,-41.81
42,5 11,2 2,20000,6,4.50,-41.81
42,5 11,2 2,20000,7,5.91,-41.80
42,5 11,2 2,20000,8,6.92,-42.20
42,5 11,2 2,20000,9,7.92,-42.47
42,5 11,2 2,20000,10,8.87,-42.22
42,5 11,2 2,20000,11,9.84,-41.81
42,5 11,2 2,20000,12,10.85,-40.36
42,5 11,2 2,20000,13,11.89,-38.50
42,5 11,2 2,20000,14,12.89,-39.35
42,5 11,2 2,20000,15,13.86,-39.77
42,5 11,2 2,20000,16,14.80,-39.25
42,5 11,2 2,20000,17,15.78,-37.71
42,5 11,2 2,20000,18,16.67,-35.17
42,5 11,2 2,20000,19,17.69,-33.01
42,5 11,2 2,20000,20,18.60,-30.66
42,5 11,2 2,20000,21,19.49,-29.83
42,5 11,2 2,20000,22,20.28,-29.47
42,5 11,2 2,20000,23,20.45,-28.15
58,5 11,2 2,20000,0,-1.97,-39.03
58,5 11,2 2,20000,1,-1.18,-39.55
58,5 11,2 2,20000,2,0.09,-40.18
58,5 11,2 2,20000,3,1.06,-40.57
58,5 11,2 2,20000,4,1.99,-40.97
58,5 11,2 2,20000,5,3.02,-41.32
58,5 11,2 2,20000,6,3.92,-41.27
58,5 11,2 2,20000,7,5.33,-41.59
58,5 11,2 2,20000,8,6.32,-41.99
58,5 11,2 2,20000,9,7.31,-41.94
58,5 11,2 2,20000,10,8.28,-41.47
58,5 11,2 2,20000,11,9.31,-41.08
58,5 11,2 2,20000,12,10.29,-40.13
58,5 11,2 2,20000,13,11.39,-38.40
58,5 11,2 2,20000,14,12.38,-39.56
58,5 11,2 2,20000,15,13.30,-40.33
58,5 11,2 2,20000,16,14.24,-40.65
58,5 11,2 2,20000,17,15.23,-39.87
58,5 11,2 2,20000,18,16.21,-37.46
58,5 11,2 2,20000,19,17.16,-34.96
58,5 11,2 2,20000,20,18.09,-32.00
58,5 11,2 2,20000,21,18.99,-30.14
58,5 11,2 2,20000,22,19.81,-29.71
58,5 11,2 2,20000,23,20.14,-28.60
106,5 11,2 2,20000,0,-0.96,-38.41
106,5 11,2 2,20000,1,-0.10,-38.96
106,5 11,2 2,20000,2,1.08,-39.78
106,5 11,2 2,20000,3,2.08,-40.47
106,5 11,2 2,20000,4,2.94,-41.21
106,5 11,2 2,20000,5,4.03,-41.56
106,5 11,2 2,20000,6,4.91,-41.69
106,5 11,2 2,20000,7,5.87,-40.46
106,5 11,2 2,20000,8,6.90,-40.37
106,5 11,2 2,20000,9,7.90,-40.29
106,5 11,2 2,20000,10,8.89,-40.22
106,5 11,2 2,20000,11,9.91,-40.20
106,5 11,2 2,20000,12,10.89,-39.95
106,5 11,2 2,20000,13,12.01,-38.61
106,5 11,2 2,20000,14,13.01,-39.67
106,5 11,2 2,20000,15,13.97,-40.68
106,5 11,2 2,20000,16,14.91,-40.95
106,5 11,2 2,20000,17,15.87,-39.94
106,5 11,2 2,20000,18,16.83,-37.18
106,5 11,2 2,20000,19,17.79,-33.66
106,5 11,2 2,20000,20,18.67,-31.07
106,5 11,2 2,20000,21,19.55,-29.96
106,5 11,2 2,20000,22,20.34,-29.62
106,5 11,2 2,20000,23,20.89,-28.17
122,5 11,2 2,20000,0,-0.47,-39.47
122,5 11,2 2,20000,1,0.38,-40.02
122,5 11,2 2,20000,2,1.54,-40.64
122,5 11,2 2,20000,3,2.51,-41.12
122,5 11,2 2,20000,4,3.39,-41.46
122,5 11,2 2,20000,5,4.48,-41.56
122,5 11,2 2,20000,6,5.40,-41.32
122,5 11,2 2,20000,7,6.48,-41.15
122,5 11,2 2,20000,8,7.52,-41.24
122,5 11,2 2,20000,9,8.50,-41.44
122,5 11,2 2,20000,10,9.48,-41.20
122,5 11,2 2,20000,11,10.51,-40.76
122,5 11,2 2,20000,12,11.47,-40.13
122,5 11,2 2,20000,13,12.56,-37.71
122,5 11,2 2,20000,14,13.56,-38.95
122,5 11,2 2,20000,15,14.51,-39.74
122,5 11,2 2,20000,16,15.45,-39.85
122,5 11,2 2,20000,17,16.41,-38.62
122,5 11,2 2,20000,18,17.35,-36.20
122,5 11,2 2,20000,19,18.25,-32.63
122,5 11,2 2,20000,20,19.17,-30.38
122,5 11,2 2,20000,21,20.03,-29.81
122,5 11,2 2,20000,22,20.77,-29.41
122,5 11,2 2,20000,23,21.26,-27.83
138,5 11,2 2,20000,0,-0.13,-39.00
138,5 11,2 2,20000,1,0.71,-39.51
138,5 11,2 2,20000,2,1.93,-40.36
138,5 11,2 2,20000,3,2.89,-40.81
138,5 11,2 2,20000,4,3.77,-41.19
138,5 11,2 2,20000,5,4.87,-41.19
138,5 11,2 2,20000,6,5.74,-41.00
138,5 11,2 2,20000,7,6.82,-40.82
138,5 11,2 2,20000,8,7.77,-40.90
138,5 11,2 2,20000,9,8.78,-41.01
138,5 11,2 2,20000,10,9.80,-40.77
138,5 11,2 2,20000,11,10.80,-40.55
138,5 11,2 2,20000,12,11.84,-39.66
138,5 11,2 2,20000,13,12.85,-39.07
138,5 11,2 2,20000,14,13.86,-39.49
138,5 11,2 2,20000,15,14.83,-39.88
138,5 11,2 2,20000,16,15.79,-39.73
138,5 11,2 2,20000,17,16.75,-38.06
138,5 11,2 2,20000,18,17.71,-35.21
138,5 11,2 2,20000,19,18.64,-31.77
138,5 11,2 2,20000,20,19.49,-30.17
138,5 11,2 2,20000,21,20.32,-29.74
138,5 11,2 2,20000,22,21.07,-29.35
138,5 11,2 2,20000,23,21.61,-27.61
155,5 11,2 2,20000,0,0.30,-38.85
155,5 11,2 2,20000,1,1.15,-39.49
155,5 11,2 2,20000,2,2.37,-40.06
155,5 11,2 2,20000,3,3.35,-40.74
155,5 11,2 2,20000,4,4.24,-41.27
155,5 11,2 2,20000,5,5.34,-41.51
155,5 11,2 2,20000,6,6.17,-41.21
155,5 11,2 2,20000,7,7.23,-40.50
155,5 11,2 2,20000,8,8.22,-40.13
155,5 11,2 2,20000,9,9.23,-39.74
155,5 11,2 2,20000,10,10.24,-39.28
155,5 11,2 2,20000,11,11.25,-39.21
155,5 11,2 2,20000,12,12.23,-38.76
155,5 11,2 2,20000,13,13.25,-38.98
155,5 11,2 2,20000,14,14.27,-39.57
155,5 11,2 2,20000,15,15.24,-39.76
155,5 11,2 2,20000,16,16.19,-39.35
155,5 11,2 2,20000,17,17.15,-37.04
155,5 11,2 2,20000,18,18.09,-34.19
155,5 11,2 2,20000,19,18.96,-31.36
155,5 11,2 2,20000,20,19.84,-30.03
155,5 11,2 2,20000,21,20.64,-29.67
155,5 11,2 2,20000,22,21.36,-29.21
155,5 11,2 2,20000,23,21.84,-27.28
42,5 7,2 2,20000,0,-1.95,-38.33
42,5 7,2 2,20000,1,-0.70,-39.14
42,5 7,2 2,20000,2,0.22,-39.91
42,5 7,2 2,20000,3,1.28,-40.88
42,5 7,2 2,20000,4,2.22,-41.44
42,5 7,2 2,20000,5,3.42,-41.86
42,5 7,2 2,20000,6,4.27,-41.89
42,5 7,2 2,20000,7,5.59,-41.53
42,5 7,2 2,20000,8,6.63,-41.79
42,5 7,2 2,20000,9,7.58,-41.85
42,5 7,2 2,20000,10,8.61,-41.58
42,5 7,2 2,20000,11,9.57,-41.17
42,5 7,2 2,20000,12,10.54,-40.16
42,5 7,2 2,20000,13,11.71,-37.76
42,5 7,2 2,20000,14,12.71,-38.89
42,5 7,2 2,20000,15,13.67,-39.73
42,5 7,2 2,20000,16,14.61,-39.85
42,5 7,2 2,20000,17,15.56,-38.64
42,5 7,2 2,20000,18,16.17,-37.49
42,5 7,2 2,20000,19,17.15,-35.10
42,5 7,2 2,20000,20,18.05,-31.21
42,5 7,2 2,20000,21,18.96,-26.50
42,5 7,2 2,20000,22,19.78,-22.48
42,5 7,2 2,20000,23,20.02,-18.78
58,5 7,2 2,20000,0,-2.28,-37.54
58,5 7,2 2,20000,1,-1.09,-38.61
58,5 7,2 2,20000,2,-0.18,-39.27
58,5 7,2 2,20000,3,0.96,-40.02
58,5 7,2 2,20000,4,1.86,-40.71
58,5 7,2 2,20000,5,3.03,-41.15
58,5 7,2 2,20000,6,3.93,-41.03
58,5 7,2 2,20000,7,5.21,-42.34
58,5 7,2 2,20000,8,6.19,-42.32
58,5 7,2 2,20000,9,7.14,-42.13
58,5 7,2 2,20000,10,8.21,-41.67
58,5 7,2 2,20000,11,9.21,-41.24
58,5 7,2 2,20000,12,10.18,-40.30
58,5 7,2 2,20000,13,11.28,-38.74
58,5 7,2 2,20000,14,12.23,-39.70
58,5 7,2 2,20000,15,13.19,-40.44
58,5 7,2 2,20000,16,14.14,-40.76
58,5 7,2 2,20000,17,15.12,-40.09
58,5 7,2 2,20000,18,15.80,-38.48
58,5 7,2 2,20000,19,16.78,-36.13
58,5 7,2 2,20000,20,17.75,-32.16
58,5 7,2 2,20000,21,18.63,-28.01
58,5 7,2 2,20000,22,19.49,-23.78
58,5 7,2 2,20000,23,19.84,-19.14
106,5 7,2 2,20000,0,-1.39,-40.48
106,5 7,2 2,20000,1,-0.11,-41.09
106,5 7,2 2,20000,2,0.72,-41.58
106,5 7,2 2,20000,3,1.90,-41.91
106,5 7,2 2,20000,4,2.77,-41.96
106,5 7,2 2,20000,5,3.99,-41.98
106,5 7,2 2,20000,6,4.88,-41.79
106,5 7,2 2,20000,7,5.73,-41.51
106,5 7,2 2,20000,8,6.68,-41.27
106,5 7,2 2,20000,9,7.68,-41.15
106,5 7,2 2,20000,10,8.68,-40.94
106,5 7,2 2,20000,11,9.75,-40.87
106,5 7,2 2,20000,12,10.78,-40.59
106,5 7,2 2,20000,13,11.94,-38.52
106,5 7,2 2,20000,14,12.93,-39.72
106,5 7,2 2,20000,15,13.88,-40.58
106,5 7,2 2,20000,16,14.82,-40.72
106,5 7,2 2,20000,17,15.78,-39.51
106,5 7,2 2,20000,18,16.39,-38.09
106,5 7,2 2,20000,19,17.33,-35.14
106,5 7,2 2,20000,20,18.28,-31.27
106,5 7,2 2,20000,21,19.21,-26.59
106,5 7,2 2,20000,22,20.01,-22.70
106,5 7,2 2,20000,23,20.40,-18.86
122,5 7,2 2,20000,0,-1.02,-40.04
122,5 7,2 2,20000,1,0.28,-40.82
122,5 7,2 2,20000,2,1.12,-41.03
122,5 7,2 2,20000,3,2.28,-41.35
122,5 7,2 2,20000,4,3.17,-41.69
122,5 7,2 2,20000,5,4.40,-41.79
122,5 7,2 2,20000,6,5.27,-41.61
122,5 7,2 2,20000,7,6.23,-41.66
122,5 7,2 2,20000,8,7.19,-41.75
122,5 7,2 2,20000,9,8.22,-41.59
122,5 7,2 2,20000,10,9.21,-41.38
122,5 7,2 2,20000,11,10.23,-41.16
122,5 7,2 2,20000,12,11.22,-40.64
122,5 7,2 2,20000,13,12.42,-38.21
122,5 7,2 2,20000,14,13.41,-39.29
122,5 7,2 2,20000,15,14.39,-40.11
122,5 7,2 2,20000,16,15.33,-40.25
122,5 7,2 2,20000,17,16.29,-38.83
122,5 7,2 2,20000,18,16.86,-37.40
122,5 7,2 2,20000,19,17.82,-33.93
122,5 7,2 2,20000,20,18.73,-29.58
122,5 7,2 2,20000,21,19.59,-25.47
122,5 7,2 2,20000,22,20.38,-21.68
122,5 7,2 2,20000,23,20.76,-18.60
138,5 7,2 2,20000,0,-0.58,-39.39
138,5 7,2 2,20000,1,0.71,-40.31
138,5 7,2 2,20000,2,1.57,-40.73
138,5 7,2 2,20000,3,2.73,-41.50
138,5 7,2 2,20000,4,3.63,-41.51
138,5 7,2 2,20000,5,4.86,-41.37
138,5 7,2 2,20000,6,5.69,-41.05
138,5 7,2 2,20000,7,6.65,-41.46
138,5 7,2 2,20000,8,7.62,-41.13
138,5 7,2 2,20000,9,8.64,-40.70
138,5 7,2 2,20000,10,9.67,-40.15
138,5 7,2 2,20000,11,10.68,-40.12
138,5 7,2 2,20000,12,11.67,-39.56
138,5 7,2 2,20000,13,12.84,-39.38
138,5 7,2 2,20000,14,13.83,-40.15
138,5 7,2 2,20000,15,14.80,-40.53
138,5 7,2 2,20000,16,15.74,-40.18
138,5 7,2 2,20000,17,16.70,-38.19
138,5 7,2 2,20000,18,17.25,-36.78
138,5 7,2 2,20000,19,18.24,-32.67
138,5 7,2 2,20000,20,19.14,-28.16
138,5 7,2 2,20000,21,19.98,-24.09
138,5 7,2 2,20000,22,20.74,-20.91
138,5 7,2 2,20000,23,21.13,-18.38
155,5 7,2 2,20000,0,-0.24,-38.63
155,5 7,2 2,20000,1,1.08,-39.58
155,5 7,2 2,20000,2,1.93,-40.13
155,5 7,2 2,20000,3,3.11,-40.98
155,5 7,2 2,20000,4,4.02,-41.19
155,5 7,2 2,20000,5,5.25,-41.29
155,5 7,2 2,20000,6,6.02,-41.11
155,5 7,2 2,20000,7,6.98,-40.93
155,5 7,2 2,20000,8,8.00,-40.54
155,5 7,2 2,20000,9,9.01,-40.14
155,5 7,2 2,20000,10,9.99,-39.92
155,5 7,2 2,20000,11,11.02,-39.70
155,5 7,2 2,20000,12,12.04,-39.32
155,5 7,2 2,20000,13,13.16,-38.92
155,5 7,2 2,20000,14,14.15,-39.82
155,5 7,2 2,20000,15,15.13,-40.19
155,5 7,2 2,20000,16,16.08,-39.77
155,5 7,2 2,20000,17,17.03,-37.60
155,5 7,2 2,20000,18,17.59,-35.97
155,5 7,2 2,20000,19,18.51,-31.97
155,5 7,2 2,20000,20,19.41,-27.68
155,5 7,2 2,20000,21,20.24,-23.50
155,5 7,2 2,20000,22,21.00,-20.44
155,5 7,2 2,20000,23,21.34,-18.26
42,5 0,2 2,20000,0,-2.14,-40.05
42,5 0,2 2,20000,1,-0.80,-40.80
42,5 0,2 2,20000,2,-0.00,-41.15
42,5 0,2 2,20000,3,1.19,-41.56
42,5 0,2 2,20000,4,2.13,-41.31
42,5 0,2 2,20000,5,3.38,-41.42
42,5 0,2 2,20000,6,4.18,-41.27
42,5 0,2 2,20000,7,5.52,-41.24
42,5 0,2 2,20000,8,6.55,-41.26
42,5 0,2 2,20000,9,7.50,-41.27
42,5 0,2 2,20000,10,8.52,-40.99
42,5 0,2 2,20000,11,9.50,-40.48
42,5 0,2 2,20000,12,10.48,-39.60
42,5 0,2 2,20000,13,11.62,-37.79
42,5 0,2 2,20000,14,12.59,-38.51
42,5 0,2 2,20000,15,13.54,-39.26
42,5 0,2 2,20000,16,14.47,-39.58
42,5 0,2 2,20000,17,15.42,-38.69
42,5 0,2 2,20000,18,16.01,-37.60
42,5 0,2 2,20000,19,16.99,-35.17
42,5 0,2 2,20000,20,17.89,-31.35
42,5 0,2 2,20000,21,18.79,-26.85
42,5 0,2 2,20000,22,19.57,-22.82
42,5 0,2 2,20000,23,19.81,-17.62
58,5 0,2 2,20000,0,-2.46,-37.89
58,5 0,2 2,20000,1,-1.15,-39.20
58,5 0,2 2,20000,2,-0.30,-39.91
58,5 0,2 2,20000,3,0.90,-40.48
58,5 0,2 2,20000,4,1.80,-40.70
58,5 0,2 2,20000,5,3.05,-40.77
58,5 0,2 2,20000,6,3.87,-40.63
58,5 0,2 2,20000,7,5.12,-41.87
58,5 0,2 2,20000,8,6.09,-41.98
58,5 0,2 2,20000,9,7.06,-41.79
58,5 0,2 2,20000,10,8.11,-41.41
58,5 0,2 2,20000,11,9.11,-40.95
58,5 0,2 2,20000,12,10.09,-39.88
58,5 0,2 2,20000,13,11.14,-38.08
58,5 0,2 2,20000,14,12.06,-39.14
58,5 0,2 2,20000,15,13.04,-40.00
58,5 0,2 2,20000,16,13.98,-40.35
58,5 0,2 2,20000,17,14.95,-39.61
58,5 0,2 2,20000,18,15.65,-38.34
58,5 0,2 2,20000,19,16.64,-36.07
58,5 0,2 2,20000,20,17.60,-32.23
58,5 0,2 2,20000,21,18.47,-28.20
58,5 0,2 2,20000,22,19.31,-24.01
58,5 0,2 2,20000,23,19.64,-18.36
106,5 0,2 2,20000,0,-1.72,-38.73
106,5 0,2 2,20000,1,-0.33,-39.97
106,5 0,2 2,20000,2,0.55,-40.52
106,5 0,2 2,20000,3,1.70,-40.83
106,5 0,2 2,20000,4,2.58,-41.08
106,5 0,2 2,20000,5,3.83,-41.12
106,5 0,2 2,20000,6,4.68,-40.97
106,5 0,2 2,20000,7,5.54,-41.58
106,5 0,2 2,20000,8,6.58,-41.62
106,5 0,2 2,20000,9,7.58,-41.16
106,5 0,2 2,20000,10,8.63,-40.89
106,5 0,2 2,20000,11,9.63,-40.58
106,5 0,2 2,20000,12,10.61,-40.15
106,5 0,2 2,20000,13,11.73,-38.56
106,5 0,2 2,20000,14,12.72,-39.61
106,5 0,2 2,20000,15,13.68,-40.11
106,5 0,2 2,20000,16,14.61,-40.04
106,5 0,2 2,20000,17,15.56,-39.13
106,5 0,2 2,20000,18,16.17,-38.04
106,5 0,2 2,20000,19,17.17,-34.93
106,5 0,2 2,20000,20,18.09,-30.91
106,5 0,2 2,20000,21,18.97,-26.77
106,5 0,2 2,20000,22,19.76,-23.00
106,5 0,2 2,20000,23,20.14,-17.78
122,5 0,2 2,20000,0,-1.17,-39.62
122,5 0,2 2,20000,1,0.22,-40.58
122,5 0,2 2,20000,2,1.05,-41.20
122,5 0,2 2,20000,3,2.21,-41.84
122,5 0,2 2,20000,4,3.10,-41.77
122,5 0,2 2,20000,5,4.33,-41.89
122,5 0,2 2,20000,6,5.21,-41.46
122,5 0,2 2,20000,7,6.15,-41.32
122,5 0,2 2,20000,8,7.23,-41.24
122,5 0,2 2,20000,9,8.21,-40.91
122,5 0,2 2,20000,10,9.21,-40.66
122,5 0,2 2,20000,11,10.20,-40.30
122,5 0,2 2,20000,12,11.19,-39.84
122,5 0,2 2,20000,13,12.30,-38.83
122,5 0,2 2,20000,14,13.29,-39.80
122,5 0,2 2,20000,15,14.26,-40.17
122,5 0,2 2,20000,16,15.19,-39.77
122,5 0,2 2,20000,17,16.14,-38.51
122,5 0,2 2,20000,18,16.74,-37.40
122,5 0,2 2,20000,19,17.67,-33.90
122,5 0,2 2,20000,20,18.58,-29.65
122,5 0,2 2,20000,21,19.44,-25.50
122,5 0,2 2,20000,22,20.24,-21.57
122,5 0,2 2,20000,23,20.58,-17.13
138,5 0,2 2,20000,0,-0.83,-40.01
138,5 0,2 2,20000,1,0.60,-41.04
138,5 0,2 2,20000,2,1.46,-41.68
138,5 0,2 2,20000,3,2.60,-41.84
138,5 0,2 2,20000,4,3.48,-41.92
138,5 0,2 2,20000,5,4.75,-41.81
138,5 0,2 2,20000,6,5.56,-41.48
138,5 0,2 2,20000,7,6.50,-41.02
138,5 0,2 2,20000,8,7.48,-41.27
138,5 0,2 2,20000,9,8.49,-41.06
138,5 0,2 2,20000,10,9.53,-40.91
138,5 0,2 2,20000,11,10.53,-40.54
138,5 0,2 2,20000,12,11.53,-40.18
138,5 0,2 2,20000,13,12.64,-39.51
138,5 0,2 2,20000,14,13.63,-40.16
138,5 0,2 2,20000,15,14.60,-40.23
138,5 0,2 2,20000,16,15.53,-39.78
138,5 0,2 2,20000,17,16.49,-37.89
138,5 0,2 2,20000,18,17.04,-36.61
138,5 0,2 2,20000,19,17.98,-32.92
138,5 0,2 2,20000,20,18.88,-28.63
138,5 0,2 2,20000,21,19.73,-24.57
138,5 0,2 2,20000,22,20.51,-20.88
138,5 0,2 2,20000,23,20.86,-16.70
155,5 0,2 2,20000,0,-0.49,-38.62
155,5 0,2 2,20000,1,0.95,-39.94
155,5 0,2 2,20000,2,1.82,-40.67
155,5 0,2 2,20000,3,3.01,-41.37
155,5 0,2 2,20000,4,3.90,-41.60
155,5 0,2 2,20000,5,5.15,-41.63
155,5 0,2 2,20000,6,5.90,-41.42
155,5 0,2 2,20000,7,6.86,-40.60
155,5 0,2 2,20000,8,7.85,-40.22
155,5 0,2 2,20000,9,8.87,-39.82
155,5 0,2 2,20000,10,9.90,-39.61
155,5 0,2 2,20000,11,10.87,-39.45
155,5 0,2 2,20000,12,11.87,-39.22
155,5 0,2 2,20000,13,12.97,-39.33
155,5 0,2 2,20000,14,13.96,-40.00
155,5 0,2 2,20000,15,14.93,-40.13
155,5 0,2 2,20000,16,15.86,-39.58
155,5 0,2 2,20000,17,16.81,-37.32
155,5 0,2 2,20000,18,17.40,-35.59
155,5 0,2 2,20000,19,18.31,-32.00
155,5 0,2 2,20000,20,19.19,-27.65
155,5 0,2 2,20000,21,20.01,-23.72
155,5 0,2 2,20000,22,20.76,-20.26
155,5 0,2 2,20000,23,21.07,-16.30
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
42,5 11,2 2,20000,0,-2.66,-39.83,0xC13F5652
42,5 11,2 2,20000,1,-1.75,-40.30,0xC13F565C
42,5 11,2 2,20000,2,-0.74,-40.89,0xC13F5667
42,5 11,2 2,20000,3,0.30,-41.23,0xC13F5674
42,5 11,2 2,20000,4,1.21,-41.48,0xC13F5680
42,5 11,2 2,20000,5,2.23,-41.79,0xC13F5692
