Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_bits_regname,test_bits_regvalue,test_case,-40ˇć,,,,20ˇć,,
,,,,,,,,,,,,,,,,
dtmx_dvdd_sw,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b000,WF_TX_ON,1032.68975,-291.9858949,1032.87427,,1011.801982,-66.98109193,1011.248419
dtmx_vref_lo,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b001,WF_TX_ON,804.0314324,803.7731031,803.7731031,,818.5716804,818.5347763,818.3502554
dtmx_dac_vb,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b010,WF_TX_ON,522.7846547,522.6739421,522.7108463,,-66.64895428,503.5575754,503.483767
dtmx_dac_vb_cscd,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b011,WF_TX_ON,319.7747446,-291.2478113,319.6640321,,325.9746474,-66.20610409,326.1960725
dtmx_logen_reg,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b100,WF_TX_ON,1082.325875,1082.178259,-291.2109071,,1070.848675,1070.553441,-66.02158317
dtmx_logen_dvdd_dll,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b101,WF_TX_ON,1068.597519,1068.634424,1068.597519,,1053.68823,1053.909655,1053.87275
dtmx_logen_vbn_mont,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b110,WF_TX_ON,626.7437378,626.6330253,626.7437378,,604.3059946,604.3428988,604.2321863
dtmx_logen_vbp_mont,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b111,WF_TX_ON,413.0316148,412.9578064,-291.3216196,,772.478356,408.5662087,408.640017
pa_bias_hb_vl2,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b000,WF_TX_hb_ON,390.2617339,390.9629134,390.8891051,,355.6087062,355.5348979,355.3134728
pa_bias_hb_vl1,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b001,WF_TX_hb_ON,378.7107247,378.563108,378.6000122,,346.4933731,346.4195647,346.4933731
pa_bias_lb_vl,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b010,WF_TX_ON,-289.6240272,371.0715589,370.9977505,,-63.95494893,364.9454645,364.9085603
pa_bias_vm,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b011,WF_TX_ON,486.0649927,486.2864178,486.0649927,,484.8102505,-44.35882782,484.8102505
pa_bg_v1v,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b100,WF_TX_ON,992.7594236,992.6856153,1214,,992.6856153,992.3165734,992.6487111
vco_reg_buf,WF,VCO,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_vco,1'b1,wf_test_bit<2:0>,3'b000,WF_PLL_ON,852.4497203,852.3021036,852.5235287,,829.2000851,828.97866,829.1262768
vco_reg_core,WF,VCO,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_vco,1'b1,wf_test_bit<2:0>,3'b001,WF_PLL_ON,1082.473492,1082.436588,1082.621109,,995.2320039,995.2320039,995.4903332
vco_avdd13_sw,WF,VCO,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_vco,1'b1,wf_test_bit<2:0>,3'b010,WF_PLL_ON,-301.4333658,1214,1214,,-78.01544261,1214,1214
mdll_avdd_logic_dig,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b000,WF_PLL_ON,1037.524197,1037.413485,1037.524197,,920.9069796,920.796267,920.8331712
mdll_avdd_logic,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b001,WF_PLL_ON,-301.7285992,788.8638132,789.0483341,,-78.12615516,780.9294139,780.9663181
mdll_cp_out1,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b010,WF_PLL_ON,297.5215224,297.2631931,297.4108098,,350.7004499,350.8111625,350.6635457
mdll_cp_out0,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b011,WF_PLL_ON,297.5215224,297.3000973,-301.7655034,,351.2540126,351.5123419,-78.01544261
rfpll_cp_outp,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b111,WF_PLL_ON,488.9066148,-301.8024076,489.3863692,,400.1151508,-78.08925097,399.8199173
rfpll_cp_outn,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b100,WF_PLL_ON,596.9989664,596.9251581,-301.5809825,,516.3264227,516.4371352,-78.12615516
avdd_pdt,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b001,WF_PLL_ON,868.3554232,1214,868.4292315,,844.0355666,1214,844.1462792
dvdd,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b000,WF_PLL_ON,899.3549368,899.4656493,899.5394577,,857.6532101,857.5424976,857.6532101
dpa_ldo,BT,DPA_LDO,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_dpa_ldo,1'b1,bt_test_bit<2:0>,3'b000,BT_TX_ON,1076.531919,1076.568823,1076.790248,,1087.824599,1087.640078,1088.082928
dvdd_dpa_reg,BT,DPA,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_dpa,1'b1,bt_test_bit<2:0>,3'b111,BT_TX_ON,877.9136065,877.9136065,877.6921814,,850.0140443,850.161661,850.161661
usb_refh,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_usb,1'b1,io_test_bit<3:0>,4'b0100,USB_ON,11.25577578,11.36648833,11.32958414,,11.66172179,11.66172179,11.69862597
usb_refl,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_usb,1'b1,io_test_bit<3:0>,4'b0101,USB_ON,2.214250973,2.472580253,2.361867704,,2.95233463,2.767813716,2.878526265
usb_dp,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1000,USB_ON,-299.5512524,2.140442607,2.472580253,,-54.80271158,2.915430447,-75.98571255
usb_dm,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1000,USB_ON,2.251155156,2.324963521,2.509484436,,2.915430447,-50.92777237,3.099951362
usb_vcal,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1010,USB_ON,2.17734679,2.17734679,-283.2026994,,2.620196984,2.95233463,3.099951362
usb_avss,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1010,USB_ON,2.17734679,2.324963521,2.103538424,,-76.02261673,2.878526265,3.099951362
pcie_pll_dvdd,IO,PCIE,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_pcie_pll,1'b1,io_test_bit<3:0>,4'b001,PCIE_ON,11.10815905,-300.9536114,11.14506323,,12.0676678,-77.12974222,12.17838035
pcie_pll_avdd_vco,IO,PCIE,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_pcie_pll,1'b1,io_test_bit<3:0>,4'b010,PCIE_ON,11.03435068,11.25577578,11.2188716,,12.36290126,12.25218872,12.2890929
xtal_dvdd_clk_buf,CM,XTAL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_xtal,1'b1,cm_test_bit<2:0>,3'b111,WF_PLL_ON,765.0606153,765.0975195,764.8760944,,744.2097519,744.3204645,744.3573687
lna_5g_reg_out,WF,LNA_5G,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna_5g_preamp,1'b1,wf_test_bit<2:0>,3'b001,WF_RX_hb_ON,943.5661479,943.2340102,943.6399562,,906.1453064,906.1453064,906.0714981
lna_5g_vbn,WF,LNA_5G,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna_5g_preamp,1'b1,wf_test_bit<2:0>,3'b010,WF_RX_hb_ON,-298.7762646,498.021948,498.3540856,,479.459144,479.6805691,479.8281858
lna_5g_vbcg,WF,LNA_5G,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna_5g_preamp,1'b1,wf_test_bit<2:0>,3'b011,WF_RX_hb_ON,775.910445,776.1687743,775.910445,,708.7817364,708.707928,708.4865029
adc_dvdd,WF,ADC,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_adc,1'b1,wf_test_bit<2:0>,3'b000,WF_RX_ON,943.8613813,944.9685068,945.005411,,950.0981882,950.1350924,949.7291464
adc_vref,WF,ADC,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_adc,1'b1,wf_test_bit<2:0>,3'b001,WF_RX_ON,-299.1822106,1012.392449,1012.57697,,-75.21072471,928.1401994,928.3247203
adc_vcm,WF,ADC,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_adc,1'b1,wf_test_bit<2:0>,3'b010,WF_RX_ON,734.9098979,-298.9976897,735.1682271,,721.0708293,721.1446376,721.1446376
lna_vbcgn,WF,LNA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna,1'b1,wf_test_bit<2:0>,3'b010,WF_RX_ON,703.5782466,703.3937257,1122.735956,,666.3788303,666.6371595,666.7478721
lna_reg_out,WF,LNA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna,1'b1,wf_test_bit<2:0>,3'b011,WF_RX_ON,930.3175462,930.1330253,930.0961211,,-75.13691634,892.8967048,893.155034
lna_vbcgp,WF,LNA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna,1'b1,wf_test_bit<2:0>,3'b100,WF_RX_ON,263.3851532,263.348249,263.2744407,,270.396948,-74.62025778,270.396948
rmx_logen_vbn,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b000,WF_RX_ON,608.6975924,608.9190175,-298.9976897,,591.1681055,591.5002432,591.463339
rmx_logen_vbp,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b001,WF_RX_ON,413.5482733,413.6589859,413.8066026,,403.0674854,402.993677,402.7353478
rmx_avdd_rf_sw,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b010,WF_RX_ON,1214,1214,1214,,1214,-75.06310798,1214
rmx_avdd_lo_sw,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b011,WF_RX_ON,-285.3800462,1214,-298.8131688,,1214,1214,1214
rmx_lo_vbias,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b100,WF_RX_ON,991.9106274,991.9475316,991.7999149,,940.170963,940.5400049,940.170963
rmx_reg_lobuf,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b101,WF_RX_ON,904.7429475,904.9274684,905.0381809,,896.5502189,896.6240272,896.365698
rmx_reg_dll,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b110,WF_RX_ON,-299.0345939,1052.728721,1052.507296,,1039.22179,1039.258694,-75.35834144
rmx_vcmref,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b111,WF_RX_ON,649.2183852,648.9231518,648.9969601,,648.9969601,648.9231518,648.9600559
tia_iref5u,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b000,WF_RX_ON,607.5535627,606.594054,607.3321376,,615.8939081,615.672483,616.0046206
tia_ldo,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b011,WF_RX_ON,-299.2191148,1036.269455,1034.977809,,1051.363266,1052.839433,1051.473979
tia_input_qp,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b100,WF_RX_ON,655.5290005,655.4551921,655.4182879,,654.5325875,-75.21072471,654.6433001
tia_input_qn,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b101,WF_RX_ON,655.2706712,655.4551921,-298.665552,,654.2742583,654.5694917,1214
tia_input_ip,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b110,WF_RX_ON,654.7171085,654.6802043,654.9385336,,653.9790248,654.1635457,653.9421206
tia_input_in,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b111,WF_RX_ON,654.6802043,654.7909168,654.7540126,,654.0897374,653.9421206,654.015929
tia_aux_output_qn,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b000,WF_RX_ON,-285.3800462,231.057089,-298.5548395,,263.938716,263.6065783,-74.91549125
tia_aux_output_qp,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b001,WF_RX_ON,231.6475559,231.3154183,231.2047057,,264.2339494,264.0863327,264.4184703
tia_aux_output_in,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b010,WF_RX_ON,234.3784655,234.4153696,234.0463278,,267.5553259,267.6291342,267.5553259
tia_aux_output_ip,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b011,WF_RX_ON,-298.7762646,235.0427408,234.9689324,,268.6255472,269.0683974,-75.10001216
tia_output_qn,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b100,WF_RX_ON,665.3824173,-298.7762646,665.3824173,,663.6110165,663.8324416,663.500304
tia_output_qp,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b101,WF_RX_ON,666.8585846,667.0800097,666.6371595,,665.3086089,665.4562257,665.2717048
tia_output_in,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b110,WF_RX_ON,-298.7762646,654.9385336,655.639713,,-75.28453307,653.7945039,654.0897374
tia_output_ip,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b111,WF_RX_ON,654.4587792,654.5694917,654.3849708,,652.8349951,-53.91701119,652.7611868
lna_bt_vbn,BT,LNA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_lna,1'b1,bt_test_bit<2:0>,3'b001,BT_RX_ON,486.4709387,486.6185554,486.2864178,,461.1915734,461.0439567,461.4868069
lna_bt_vbcg,BT,LNA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_lna,1'b1,bt_test_bit<2:0>,3'b010,BT_RX_ON,704.3532344,704.7960846,704.6484679,,672.0620744,671.9513619,672.0620744
lna_bt_dvdd,BT,LNA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_lna,1'b1,bt_test_bit<2:0>,3'b011,BT_RX_ON,1071.217716,1071.033196,1071.107004,,1080.406858,1080.369954,1080.369954
rmx_bt_reg,BT,RMX_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_rmx,1'b1,bt_test_bit<2:0>,3'b001,BT_RX_ON,1071.992704,1071.9558,1071.734375,,1081.772313,1081.846121,1081.772313
rmx_bt_lobias,BT,RMX_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_rmx,1'b1,bt_test_bit<2:0>,3'b010,BT_RX_ON,1026.711272,1026.821984,1026.748176,,979.6953429,979.5477262,979.5477262
rmx_bt_avdd_sw,BT,RMX_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_rmx,1'b1,bt_test_bit<2:0>,3'b011,BT_RX_ON,1214,1214,1214,,1214,1214,1214
tia_bt_output_qn,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b000,BT_RX_ON,693.2081712,693.1343628,692.4700875,,693.3188838,693.577213,694.0200632
tia_bt_output_qp,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b001,BT_RX_ON,694.5367218,695.0533804,694.8319553,,695.6438473,695.6807515,696.0128891
tia_bt_output_ip,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b010,BT_RX_ON,698.5592777,698.3378526,697.7104815,,692.8022252,692.0272374,691.8427164
tia_bt_output_in,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b011,BT_RX_ON,685.1999635,685.1999635,685.6797179,,691.3629621,690.8832077,691.3629621
tia_bt_input_qn,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b100,BT_RX_ON,681.2143118,681.066695,681.2143118,,681.657162,681.9154912,681.657162
tia_bt_input_qp,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b101,BT_RX_ON,680.2178988,679.848857,680.1440905,,680.8452699,680.7345574,680.8452699
tia_bt_input_ip,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b110,BT_RX_ON,680.4393239,680.4024197,680.4393239,,680.8821741,680.8452699,680.8821741
tia_bt_input_in,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b111,BT_RX_ON,680.2178988,680.4393239,680.3655156,,681.1035992,681.1405034,680.9928867
